tweet,classificacao
"Se eu comprar cinco anos antecipados, eu ganho algum desconto?",Comercial
O exercício 15 do curso de Java 1 está com a resposta errada. Pode conferir pf?,Técnico
Existe algum curso para cuidar do marketing da minha empresa?,Cursos
"Gostaria de renovar antecipadamente meu plano, como posso fazer?",Comercial
O vídeo não está travando as vezes no meu navegador. Como trocar o player?,Técnico
Que trilha vocês recomendam para quem quer começar com programação?,Cursos
Quanto custa o plano premium?,Comercial
Como faço para postar minha dúvida no fórum?,Técnico
"Já trabalho como designer e queria aprender mais de UX, que cursos devo fazer?",Cursos
"Coloquei meu nome com letra maiúscula no certificado, gostaria de mudar, como posso fazer isso?",Comercial
Onde posso acessar meu certificado?,Técnico
Que cursos devo fazer para crescer na minha carreira de programação?,Cursos
Se meu acesso expirar ainda tenho acesso aos meus certificados?,Comercial
Achei um erro no vídeo de Excel. A fórmula usada foi sum com uma coluna a mais no segundo vídeo do curso aos 3 minutos.,Técnico
Que cursos vocês indicam para meu filho de 14 anos?,Cursos
Posso imprimir meu certificado?,Comercial
"Bom dia, tenho interesse na parte de IOS, porem tenho a duvida sobre as vídeo aulas, devem existir exercícios, para realizar esse curso seria necessário possuir um computador mac?, ou existe algum ambiente de virtualização para que possar ser realizados esses exercícios e praticas do conteúdo?",Técnico
Qual a carreira indicada para meu filho?,Cursos
Gostaria de saber se vocês emitem certificado valido para todo  Brasil??? Desde já agradeço!,Comercial
qual versão do laravel no curso,Técnico
"Olá, quero aprender a programar, mas não sei por onde começar, e gostaria de uma ajuda para escolher o curso! Obs: só posso fazer a distancia.",Cursos
"Comprei o plano Premium ontem mas Queria mudar do plano Premium pro plus, como faço?",Comercial
Como faço para me tornar um moderador na X21?,Técnico
estou interessado em python minha duvida é se nos cursos da x21 vou aprender sobre interface gráfica? já conheço um pouco mas estou almejando a pyqt pois me parece ser muito mais completa.,Cursos
"Usei o cartão do meu pai e ele cancelou o pagamento pois eu não havia avisado, posso tentar efetuar a compra novamente?",Comercial
Como faço para ser convidado a me tornar um moderador?,Técnico
"Me cadastrei com o email antigo do paypal, mas gostaria de me cadastrar com um novo, poderia trocar para mim por favor?",Comercial
Quais os passos para me tornar um desenvolvedor certificado na minha carreira de programador?,Cursos
"Tenho o plano premiun de renovar o plano Premium plus, como faço?",Comercial
"Quero ajudar mais a comunidade da X21 e me tornar um moderador, como posso fazer isso?",Técnico
"Terminei a faculdade em sistemas de informação, porém não tenho muita Prática, qual curso devo optar em fazer, pretendo trabalhar com Java web inicialmente.",Cursos
Além do paypal posso pagar com moip?,Comercial
"Encontrei um erro de digitação em uma explicação, devo enviar por aqui ou pela ferramenta do site de envio de correção de explicação?",Técnico
Posso efetuar o pagamento a vista via transferencia bancária?,Comercial
"Boa noite, equipe da X21! Senti a necessidade de aprender a programar e diante de algumas pesquisas no google me deparei com o site de vocês. Gostaria de saber se eu, que tenho perto de 0 de proximidade com a programação, serei capaz de entender, absorver e aprender realmente a lidar com as linguagens e ser capaz de programar ou se são cursos para quem já possui uma base e deseja aprender ainda mais. De qualquer forma fica aqui um depoimento de alguém que só de ver o site de vocês já sentiu mais vontade ainda de aprender. Parabéns!",Cursos
"Usei a conta do paypal de meus pais para me cadastrar, mas gostaria de usar meu email, por favor trocar.",Comercial
"Desde já, desejo-te um ótimo início de semana, seguinte sou do COBOL, estudei outras linguagens, mas a que mais me identifiquei foi python, gostaria de saber se a trilha do curso python vai ser desenvolvido na plataforma Windows?",Técnico
"Gostaria de saber qual o melhor curso para eu fazer, já que não tenho nenhum conhecimento na área de programação.",Cursos
Posso usar o cartão de meu pai para efetuar o pagamento?,Comercial
"Trabalhando com o framework Django não ficamos dependente desse programa, pois não seria melhor criarmos nosso próprio framework para termos maior independência e maior controle sobre as aplicações?",Técnico
"É necessário aprender html, css e javascrip em python para criar aplicações web?",Cursos
"Estou com dificuldade para fazer o pagamento, poderia me ajudar?",Comercial
"Gostaria de saber qual o melhor caminho para meu filho, que gosta de design mas não é fã de programação. Ele deve fazer lógica?",Cursos
